euro_id;event_year;country;gender;group_type;place;points;host_country;host_region;is_final;sf_number;song_in_english
1;2009;Israel;Female;Group;16;53;Away;Away;1;null;1
2;2009;France;Female;Solo;8;107;Away;Away;1;null;0
3;2009;Sweden;Female;Solo;21;33;Away;Away;1;null;1
4;2009;Croatia;Both;Group;18;45;Away;Away;1;null;0
5;2009;Portugal;Both;Group;15;57;Away;Away;1;null;0
6;2009;Iceland;Female;Solo;2;218;Away;Away;1;null;1
7;2009;Greece;Male;Solo;7;120;Away;Away;1;null;1
8;2009;Armenia;Female;Group;10;92;Away;Home;1;null;1
9;2009;Russia;Female;Solo;11;91;Home;Home;1;null;0
10;2009;Azerbaijan;Both;Group;3;207;Away;Home;1;null;1
11;2009;Bosnia and Herzegovina;Male;Group;9;106;Away;Away;1;null;0
12;2009;Moldova;Female;Solo;14;69;Away;Home;1;null;1
13;2009;Malta;Female;Solo;22;31;Away;Away;1;null;1
14;2009;Estonia;Female;Solo;6;129;Away;Home;1;null;0
15;2009;Denmark;Male;Solo;13;74;Away;Away;1;null;1
16;2009;Germany;Male;Solo;20;35;Away;Away;1;null;1
17;2009;Turkey;Female;Solo;4;177;Away;Away;1;null;1
18;2009;Albania;Female;Solo;17;48;Away;Home;1;null;1
19;2009;Norway;Male;Solo;1;387;Away;Away;1;null;1
20;2009;Ukraine;Female;Solo;12;76;Away;Home;1;null;1
21;2009;Romania;Female;Solo;19;40;Away;Home;1;null;1
22;2009;United Kingdom;Female;Solo;5;173;Away;Away;1;null;1
23;2009;Finland;Both;Group;25;22;Away;Away;1;null;1
24;2009;Spain;Female;Solo;23;23;Away;Away;1;null;1
25;2008;Romania;Both;Group;20;45;Away;Away;1;null;0
26;2008;United Kingdom;Male;Solo;25;14;Away;Away;1;null;1
27;2008;Albania;Female;Solo;17;43;Away;Away;1;null;0
28;2008;Germany;Female;Group;23;14;Away;Away;1;null;1
29;2008;Armenia;Female;Solo;4;198;Away;Away;1;null;1
30;2008;Bosnia and Herzegovina;Male;Solo;10;105;Away;Home;1;null;0
31;2008;Israel;Male;Solo;9;124;Away;Away;1;null;1
32;2008;Finland;Male;Group;22;35;Away;Away;1;null;0
33;2008;Croatia;Both;Group;21;42;Away;Home;1;null;0
34;2008;Poland;Female;Solo;24;14;Away;Away;1;null;1
35;2008;Iceland;Both;Group;14;64;Away;Away;1;null;1
36;2008;Turkey;Male;Group;7;131;Away;Away;1;null;0
37;2008;Portugal;Female;Solo;13;69;Away;Away;1;null;0
